DealerNumber,LegancyDealerNumber,DealerFullName,DealerShortName,DiscountCode,PricingTypeCode,ProductFrom,TypeofServiceFrom,ReplacementProductType,SecondReplacementMethod,ReplacementPaymentMethodCode,InterestChargedCode,DateOfRecordEntry,DateOfLastMaintained,LastChangedEmployeeNumber,RecordActivityStatusFlag,CancellationProcessiongCode,AuditCreateDate,AuditType
53032,53032D9,OFFICE MAX,OFFICE,,1,2,3,2,0,1,,921020,990809,0,I,1,10:44.0,I
53032,5.30E+05,OFFICE MAX,OFFICE,,1,2,3,2,0,1,,921020,990809,0,I,1,10:44.0,I
53032,5.30E+06,OFFICE MAX,OFFICE,,1,2,3,2,0,1,,921020,990809,0,I,1,10:44.0,I
53032,5.30E+07,OFFICE MAX,OFFICE,,1,2,3,2,0,1,,921020,990809,0,I,1,10:44.0,I
53032,5.30E+08,OFFICE MAX,OFFICE,,1,2,3,2,0,1,,921020,990809,0,I,1,10:44.0,I
53032,5.30E+09,OFFICE MAX,OFFICE,,1,2,3,2,0,1,,921020,990809,0,I,1,10:44.0,I
53032,5.30E+10,OFFICE MAX,OFFICE,,1,2,3,2,0,1,,921020,990809,0,I,1,10:44.0,I
53032,5.30E+11,OFFICE MAX,OFFICE,,1,2,3,2,0,1,,921020,990809,0,I,1,10:44.0,I
53032,5.30E+12,OFFICE MAX,OFFICE,,1,2,3,2,0,1,,921020,990809,0,I,1,10:44.0,I
53032,53032D3,OFFICE MAX,OFFICE,,1,2,3,2,0,1,,921020,990809,0,I,1,10:44.0,I
40224,40224 A,C & G ELECTRONIC,C & G,,1,2,2,0,2,1,,921029,980624,0,I,2,10:44.0,I
53022,53022 A,PACE WAREHOUSE,PACE W,,2,2,3,1,0,2,,921029,941219,0,I,2,10:44.0,I
53058,53058 A,AMES DEPARTMENT STORE INC,AMES D,,1,2,3,4,4,1,,921029,941219,0,I,1,10:44.0,I
53044,53044 A,BIZMART,BIZMAR,,2,2,2,2,0,1,,921029,941219,0,I,1,10:44.0,I
53030,53030 A,MUSICLAND,MUSICL,,1,2,3,0,0,1,,921110,941219,0,I,1,10:44.0,I
53093,53093 A,HIQUALITY SYSTEMS INC,HIQUAL,,2,2,2,0,0,1,,921110,950519,0,I,2,10:44.0,I
40234,40234 A,AUTOMATIC APPLIANCE INC,AUTOMA,,1,2,3,0,0,1,,921110,960425,0,I,2,10:44.0,I
40235,40235 A,DCS INC,DCSINC,,2,2,2,0,0,1,,921110,941219,0,I,2,10:44.0,I
310,310   A,DELBERTS LAWN & GARDEN,DELBER,,1,2,2,2,0,1,,921110,980625,0,I,1,10:44.0,I
4,ABMN07A,USA DIRECT-ABMN07,USA,,1,1,3,0,0,1,,921123,941219,0,I,2,10:44.0,I
5,370382A,STROUDS-370382A,STROUD,,1,1,2,3,0,1,,921211,941219,0,I,2,10:44.0,I
6,AB04  A,SUBURBAN PROPANE-AB04,SUB,,1,2,3,0,0,1,,921216,941219,0,I,2,10:44.0,I
7,AB05  A,PETROLANE-AB05,PETRO,,3,2,3,0,0,1,,921216,941219,0,I,2,10:44.0,I
8,120S84A,PETE'S OFFICE MACHINE 120S84A,PETE'S,,2,2,2,2,2,1,,930111,941219,0,I,1,10:44.0,I
40238,40238 A,DAVE'S VIDEO,DAVE'S,,2,2,2,3,3,1,,930111,960115,0,I,1,10:44.0,I
387,NULL,COAST TO COAST INC      35027,387,,1,2,2,0,0,1,,930112,960306,0,I,2,10:44.0,I
31687,NULL,COAST TO COAST INC       2304,31687,,1,2,2,0,0,1,,930112,960306,0,I,2,10:44.0,I
30283,NULL,COAST TO COAST            306,30283,,1,2,2,0,0,1,,930112,960306,0,I,2,10:44.0,I
30021,NULL,COAST TO COAST          13088,30021,,1,2,2,0,0,1,,930112,960306,0,I,2,10:44.0,I
30311,NULL,COAST TO COAST            305,30311,,1,2,2,0,0,1,,930112,960306,0,I,2,10:44.0,I
31641,NULL,COAST TO COAST         210197,31641,,1,2,2,0,0,1,,930112,960306,0,I,2,10:44.0,I
50752,NULL,COAST TO COAST          46082,50752,,1,2,2,0,0,1,,930112,960408,0,I,2,10:44.0,I
53055,53055 A,LOWES COMPANIES INC,LOWES,,1,2,2,1,1,1,,930118,941219,0,I,2,10:44.0,I
9,ABMN03A,C.O.M.B. CORPORATION-ABMN03,COMB,,1,2,3,0,0,1,,930119,941219,0,I,1,10:44.0,I
10,ABIL03A,MUSICRAFT INC-ABIL03,MUSICR,,1,2,3,0,0,1,,930122,941219,0,A,2,10:44.0,I
2015,2015  A,AUDIO EMPORIUM,AUDIO,,1,2,2,0,0,1,,930125,941219,0,I,2,10:44.0,I
2015,20S121A,AUDIO EMPORIUM,AUDIO,,1,2,2,0,0,1,,930125,941219,0,I,2,10:44.0,I
4031,4031  A,EBER ELECTRONICS,EBER,,1,2,2,3,0,1,,930125,980625,0,I,2,10:44.0,I
45017,45017 A,HI-PERFORMANCE,HI-PER,,1,2,2,0,0,1,,930125,941219,0,I,2,10:44.0,I
40212,40212 A,MARCONI RADIO INC,MARCON,,1,2,2,0,0,1,,930125,941219,0,I,2,10:44.0,I
53037,53037 A,USAA ALLIANCE SERVICES COMPANY,USAA A,,1,2,2,0,0,1,,930125,1021205,0,A,1,10:44.0,I
53095,53095 A,FITNESS SOURCE,FITNES,,1,2,3,0,0,1,,930125,941219,0,I,1,10:44.0,I
45070,45070 A,INTEGRITY TECHNOLOGIES INC,INTEGR,,2,2,2,0,0,1,,930126,941219,0,I,1,10:44.0,I
31063,310636A,APPLIANCE WAREHOUSE MAX,APPLIA,,1,2,2,0,0,1,,930126,941219,0,I,2,10:44.0,I
31063,310636B,APPLIANCE WAREHOUSE MAX,APPLIA,,1,2,2,0,0,1,,930126,941219,0,I,2,10:44.0,I
31063,310636C,APPLIANCE WAREHOUSE MAX,APPLIA,,1,2,2,0,0,1,,930126,941219,0,I,2,10:44.0,I
11,ABMN04A,MONTGOMERY WARD-ABMN04,MONTGO,,1,1,1,0,0,1,,930126,941219,0,I,2,10:44.0,I
1350,NULL,COAST TO COAST         490520,1350,,1,2,2,0,0,1,,930127,960306,0,I,2,10:44.0,I
17053,17053 A,CAMPO/SOUND TREK,CAMPO,,1,2,3,0,0,1,,930127,941219,0,I,2,10:44.0,I
37219,NULL,COAST TO COAST          45058,37219,,1,2,2,0,0,1,,930129,960306,0,I,2,10:44.0,I
53052,53052 A,WHOLESALE SUPPLY,WHOLES,,1,1,1,1,0,1,,930129,950112,0,I,1,10:44.0,I
53074,53074 A,US COAST GUARD,USCOAS,,1,2,2,1,1,1,,930201,941219,0,I,1,10:44.0,I
53089,53089 A,US COAST GUARD,US COA,,1,2,2,1,0,1,,930201,941219,0,I,1,10:44.0,I
53068,53068 A,US COAST GUARD,US COA,,1,2,2,1,0,1,,930201,941219,0,I,1,10:44.0,I
12040,12040 A,A&G RADIO,A&G,,1,2,3,0,0,1,,930202,960903,0,A,2,10:44.0,I
17054,17054 A,MOBILE ONE,MOBILE,,1,2,2,0,0,2,,930202,990603,0,I,2,10:44.0,I
40221,40221 A,SOUND COMPANY,SOUNDC,,1,2,2,0,0,2,,930202,980625,0,I,2,10:44.0,I
53102,53102 A,SMITH CORONA,SMITH,,2,2,2,1,0,1,,930202,941219,0,I,2,10:44.0,I
12,ABOK01A,WESTCO-ABOK01,WESTCO,,1,2,3,0,0,1,,930202,941219,0,I,2,10:44.0,I
42001,420493A,CENTURION COMPUTERS & SOFTWARE,420493,,2,2,2,0,0,1,,930203,941219,0,I,2,10:44.0,I
40228,40228 A,GENERAL APPLIANCE,GENERA,,1,2,2,1,0,2,,930203,980625,0,I,1,10:44.0,I
6211,6211  A,WHITE CRANE TRADING,WHITE,,1,2,2,0,0,1,,930204,950928,0,I,1,10:44.0,I
42002,370145A,ARCH ELECTRONICS-370145A,ARCH E,,1,2,2,0,0,2,,930204,941219,0,I,2,10:44.0,I
42003,370205A,RALPHS DISCOUNT-370205A,RALPHS,,1,2,2,0,0,1,,930204,941219,0,I,2,10:44.0,I
1609,1609  A,"BARGAIN SUPPLY CO., INC.",BARGAI,,1,2,2,0,0,1,,930204,1010710,0,I,2,10:44.0,I
42029,42029 A,TOM PADGETT CO,TOM P,,1,2,2,0,0,1,,930204,980625,0,I,1,10:44.0,I
